,Player,Age,FW,MF,DF,GK,Salary
1438,z.buyinza,30,1,1,0,0,1465867.133
1439,f.masango,27,0,0,1,0,8026537.786
1440,g.ribeiro,26,0,0,1,0,9191502.824
1441,l.zuki,21,0,0,1,0,4856924.552
1442,a.mitrovi,17,0,0,1,0,3729299.326
1443,a.ninsiima,34,0,0,1,0,9809600.505
1444,e.nilsson,23,0,0,1,0,3996654.85
1445,e.ow,25,0,0,1,0,5533980.659
1446,f.rodrigues,28,0,0,1,0,5163474.643
1447,h.arab,30,0,0,1,0,5713712.372
1448,i.nuwamanya,31,0,0,1,0,3089938.481
1449,r.amule,30,0,0,1,0,6806887.844
1450,t.levy,29,0,0,1,0,8778409.317
1451,r.paris,20,0,1,1,0,4351154.396
1452,t.nasirumbi,26,1,0,0,0,7734574.286
1453,i.shoshan,29,1,0,0,0,9768240.478
1454,a.makore,28,1,0,0,0,4263802.62
1455,a.kyarikunda,29,1,1,0,0,8808482.084
1456,m.mangena,27,1,1,0,0,7640788.516
1457,j.ashknaziy,26,0,0,0,1,9933911.361
1458,g.nakandi,29,0,0,0,1,8231578.672
1459,u.nambuya,24,0,1,0,0,6712137.545
1460,l.morin,28,0,1,0,0,8894176.985
1461,l.nakuya,26,0,1,0,0,4172253.157
1462,o.fekete,27,0,1,0,0,3888989.642
1463,h.kisembo,24,0,1,0,0,5362152.882
1464,h.valentini,23,0,1,0,0,1624267.353
1465,r.kwakye,29,0,1,0,0,3442272.202
1466,t.nasution,28,1,1,0,0,1041433.989
1467,b.nakandi,27,1,1,0,0,4370287.447
1468,k.driciru,30,1,1,0,0,2134550.051
1469,e.potonik,28,0,0,1,0,4621452.7
1470,x.boyko,28,0,0,1,0,2968062.351
1471,z.chavula,28,0,0,1,0,9103714.348
1472,x.williams,25,0,0,1,0,1124072.194
1473,l.schubert,28,0,0,1,0,3614008.358
1474,h.zare,28,0,0,1,0,9841477.054
1475,i.gashi,27,0,0,1,0,5297959.323
1476,m.ayebazibwe,25,0,0,1,0,1528875.507
1477,s.ningsih,22,0,0,1,0,3013544.625
1478,j.saidu,34,1,0,0,0,3121818.382
1479,f.nyakaisiki,25,1,0,0,0,2577268.552
1480,f.akwero,25,1,0,0,0,1280090.301
1481,k.clark,32,1,0,0,0,1710446.342
1482,c.mugabirwe,25,1,1,0,0,4808773.265
1483,h.kirabira,24,1,1,0,0,941890.8651
1484,r.namande,32,1,1,0,0,1200341.881
1485,r.nkosi,28,1,1,0,0,1150757.876
1486,n.busingye,22,0,0,0,1,6322347.958
1487,r.owere,30,0,0,0,1,331418.6327
1488,z.banda,19,0,1,0,0,8528765.616
1489,a.mucunguzi,27,0,1,0,0,3242166.265
1490,m.delgado,24,0,1,0,0,657464.2634
1491,r.gentile,28,0,1,0,0,5794189.038
1492,c.muhammadu,23,0,1,0,0,266617.6384
1493,q.liang,25,0,1,0,0,724835.532
1494,w.joao,19,0,0,1,0,5225770.512
1495,l.achen,28,0,0,1,0,5049117.583
1496,z.krajnc,28,0,0,1,0,5022212.416
1497,h.kabugho,25,0,0,1,0,3880124.217
1498,l.yulianti,32,0,0,1,0,6673933.79
1499,o.gamal,20,0,0,1,0,1981879.306
1500,r.bogere,34,0,0,1,0,8021007.943
1501,s.nayiga,26,0,0,1,0,46681.74
1502,a.ansah,21,0,0,1,0,6833852.264
1503,v.rocha,31,0,0,1,0,6031828.066
1504,l.dewit,34,1,0,0,0,8188698.002
1505,b.esposito,31,1,0,0,0,314772.9483
1506,f.oreilly,20,1,0,0,0,8191443.305
1507,i.kafeero,20,1,0,0,0,5084118.489
1508,v.ngwira,21,1,0,0,0,7451990.956
1509,g.gonzalez,25,1,1,0,0,8640348.082
1510,h.kelmendi,28,1,1,0,0,6490319.375
1511,j.vasquez,29,0,0,0,1,8498758.544
1512,a.amongin,29,0,0,0,1,2504757.127
1513,n.tkachuk,41,0,0,0,1,8171786.804
1514,k.mohammadzadeh,28,0,1,0,0,1216478.061
1515,o.maulana,24,0,1,0,0,5111229.231
1516,t.yakovenko,32,0,1,0,0,3104006.921
1517,v.owusu,32,0,1,0,0,2933442.616
1518,z.braun,25,0,1,0,0,3824261.755
1519,a.kalule,22,0,1,0,0,7467771.599
1520,z.dhlamini,21,0,1,0,0,5228233.583
1521,u.makoni,20,0,1,0,0,788546.8082
1522,o.meszaros,29,0,1,0,0,620906.5308
1523,y.smit,25,1,1,0,0,9223945.107
1524,e.mugoya,26,0,0,1,0,8608139.57
1525,h.bhebhe,26,0,0,1,0,167007.7978
1526,w.namukose,24,0,0,1,0,217132.9742
1527,i.fernandes,27,0,0,1,0,8779368.996
1528,g.ribeiro,26,0,0,1,0,7532911.24
1529,n.mushabe,35,0,0,1,0,8918535.258
1530,b.angella,20,0,0,1,0,6359942.559
1531,f.nyiramahoro,19,0,0,1,0,9432485.542
1532,h.hsu,17,0,0,1,0,1258258.578
1533,o.ahamad,25,0,0,1,0,8845022.075
1534,g.abdi,28,1,0,0,0,9574525.582
1535,e.munetsi,37,1,0,0,0,4179176.728
1536,k.amoding,20,1,0,0,0,3263137.84
1537,a.patal,28,1,0,0,0,3467057.652
1538,m.ogbonna,19,1,1,0,0,9926018.406
1539,e.bosnjak,17,1,1,0,0,7274724.346
1540,c.majoni,27,1,1,0,0,4317862.993
1541,o.night,22,1,1,0,0,1542712.659
1542,v.razak,35,0,0,0,1,9146701.905
1543,u.mvula,28,0,0,0,1,7242639.53
1544,s.kor,22,0,1,0,0,4890069.994
1545,z.angom,17,0,1,0,0,1624814.338
1546,o.binabdulrahman,21,0,1,0,0,2576859.453
1547,u.lomongin,31,0,1,0,0,5863495.841
1548,a.shafiee,33,0,1,0,0,6532054.354
1549,p.arhin,19,0,1,0,0,5870253.232
1550,h.pichler,29,0,1,0,0,2714446.559
1551,i.mushonga,28,0,1,0,0,8230809.926
1552,v.ogwal,18,0,1,0,0,4366509.823
1553,x.aliru,20,0,1,0,0,6571538.871
1554,b.ozols,17,1,1,0,0,9486324.456
1555,a.marchenko,25,0,0,1,0,8128237.086
1556,w.hamad,33,0,0,1,0,7401310.786
1557,d.kos,19,0,0,1,0,6068439.402
1558,e.ghosh,29,0,0,1,0,5577225.787
1559,e.nemeth,33,0,0,1,0,2191691.658
1560,f.odaga,20,0,0,1,0,2029194.821
1561,k.nanyondo,26,0,0,1,0,4348151.923
1562,k.reyes,21,0,0,1,0,3853905.617
1563,o.barasa,32,0,0,1,0,936413.4715
1564,y.mugerwa,24,0,0,1,0,5301488.427
1565,q.krasniqi,18,0,1,1,0,8229674.23
1566,z.njoku,24,1,0,0,0,9499214.658
1567,l.nanono,30,1,0,0,0,4277439.24
1568,p.matsumoto,19,1,0,0,0,52561.20587
1569,w.kisitu,23,1,0,0,0,1319189.109
1570,k.taremwa,27,1,1,0,0,4665073.219
1571,c.reuben,29,1,1,0,0,3902559.991
1572,z.nyamahunge,37,0,0,0,1,6168338.212
1573,y.nanyondo,25,0,0,0,1,5327748.611
1574,m.ngamita,29,0,0,0,1,7191855.293
1575,g.achia,30,0,1,0,0,9638879.648
1576,t.ray,23,0,1,0,0,9133943.528
1577,v.persson,28,0,1,0,0,5671149.424
1578,k.thompson,24,0,1,0,0,6483030.769
1579,h.michel,32,0,1,0,0,9550147.087
1580,e.ngoma,18,0,1,0,0,2475348.121
1581,g.sala,33,0,1,0,0,640988.2486
1582,h.valentini,23,0,1,0,0,8840074.658
1583,w.teoh,18,0,1,0,0,5281449.536
1584,q.juhasz,23,0,1,1,0,4270317.282
1585,a.nasiru,24,1,1,0,0,6705824.209
1586,f.contreras,27,1,1,0,0,1085558.981
1587,h.tumukunde,31,1,1,0,0,5795011.356
1588,l.yusof,25,0,0,1,0,3068649.969
1589,d.adu,25,0,0,1,0,5852674.282
1590,o.andoh,20,0,0,1,0,1446811.282
1591,n.alum,29,0,0,1,0,7022337.823
1592,f.he,22,0,0,1,0,6845152.637
1593,a.cheang,19,0,0,1,0,3960729.042
1594,v.it,30,0,0,1,0,193794.6342
1595,j.atala,26,0,0,1,0,1345992.568
1596,c.manjhi,25,0,0,1,0,7560139.822
1597,f.ahebwa,19,0,0,1,0,5387311.763
1598,m.namiiro,33,0,0,1,0,359218.797
1599,y.opio,28,0,0,1,0,8118664.443
1600,a.acheng,23,0,0,1,0,2980678.592
1601,c.gheorghe,17,1,0,0,0,8639881.89
1602,m.dbrowski,19,1,0,0,0,5514804.918
1603,z.ngambi,31,1,0,0,0,4867352.148
1604,n.yamashita,18,1,0,0,0,6724761.607
1605,z.osei,18,1,0,0,0,6346771.885
1606,c.abramov,28,1,0,0,0,4492203.717
1607,y.nambi,28,1,0,0,0,9197084.816
1608,k.amoding,20,1,1,0,0,6394805.892
1609,a.kovaevi,27,0,0,0,1,7117076.645
1610,h.okafor,24,0,0,0,1,6714147.739
1611,p.kachingwe,28,0,0,0,1,7187600.095
1612,w.nabuuma,28,0,1,0,0,2851218.597
1613,g.kaweesa,25,0,1,0,0,7477871.981
1614,h.adjei,27,0,1,0,0,6100349.001
1615,k.mayanja,26,1,1,0,0,5009011.14
1616,d.pfeiffer,31,1,1,0,0,6560952.273
1617,j.jorgensen,24,1,1,0,0,9426485.682
1618,j.laurent,29,0,0,1,0,7154094.262
1619,f.farkas,24,0,0,1,0,6282938.629
1620,d.muwonge,23,0,0,1,0,6679618.039
1621,x.denis,21,0,0,1,0,4939632.268
1622,z.longole,23,0,0,1,0,4401890.678
1623,b.matei,22,0,0,1,0,4400462.243
1624,c.obi,27,0,0,1,0,3399156.997
1625,d.saleh,23,0,0,1,0,7946833.728
1626,l.vandijkvandyk,16,0,0,1,0,9081307.661
1627,p.natukunda,35,0,0,1,0,1061497.423
1628,t.moretti,20,0,0,1,0,4648622.258
1629,c.malkah,20,0,0,1,0,2767209.018
1630,s.obonyo,22,1,0,0,0,4222877.321
1631,p.mukalazi,23,1,0,0,0,8686821.714
1632,v.golob,24,1,0,0,0,8784326.932
1633,v.tugume,31,1,0,0,0,6156981.737
1634,l.jean,28,1,1,0,0,9224754.609
1635,l.baidoo,18,1,1,0,0,2127571.199
1636,y.acola,32,0,0,0,1,7616024.432
1637,g.hasan,17,0,0,0,1,9144571.573
1638,k.huang,38,0,0,0,1,9806654.834
1639,j.leroux,27,0,1,0,0,4933535.153
1640,a.dekker,26,0,1,0,0,3098553.683
1641,f.lee,21,0,1,0,0,5979446.604
1642,m.chirambo,34,0,1,0,0,9882086.816
1643,u.david,23,0,1,0,0,527035.3297
1644,w.tushabomwe,27,0,1,0,0,5953854.045
1645,n.colon,19,1,1,0,0,5596692.958
1646,c.alum,27,1,1,0,0,8309460.538
1647,g.chimwaza,19,1,1,0,0,2954189.283
1648,y.brown,19,1,1,0,0,7972943.784
1649,c.adong,28,0,0,1,0,3022590.725
1650,c.moser,29,0,0,1,0,7064305.741
1651,d.henriksen,22,0,0,1,0,7928006.802
1652,u.krause,32,0,0,1,0,7871620.428
1653,d.biribawa,23,0,0,1,0,6178659.272
1654,o.nanyanzi,24,0,0,1,0,773267.4708
1655,y.gashi,28,0,0,1,0,741102.8651
1656,k.nambi,21,0,0,1,0,1105376.638
1657,t.schulz,25,0,0,1,0,9048916.82
1658,j.otoo,21,0,0,1,0,146415.0544
1659,u.quansah,25,0,1,1,0,5095735.72
1660,k.philippe,29,1,0,0,0,7617323.924
1661,g.mwima,29,1,0,0,0,2327988.156
1662,o.roth,26,1,0,0,0,2995129.544
1663,v.morel,23,1,0,1,0,9342040.279
1664,l.mumbere,28,1,0,1,0,8361672.472
1665,y.larsen,25,0,0,0,1,9673455.105
1666,h.dehghan,24,0,1,0,0,686382.7749
1667,u.nambuya,24,0,1,0,0,1129838.376
1668,k.chisi,25,0,1,0,0,4067386.531
1669,s.ghaffari,24,0,1,0,0,5167465.971
1670,x.makina,17,0,1,0,0,5251530.877
1671,l.sigauke,22,0,1,0,0,8826616.457
1672,t.musisi,18,0,1,0,0,8797253.962
1673,b.alhassan,31,0,1,0,0,3538861.728
1674,n.terzi,21,0,0,1,0,8101977.812
1675,l.chiu,30,0,0,1,0,8720762.937
1676,d.shuaibu,27,0,0,1,0,3415945.811
1677,w.ly,26,0,0,1,0,9024973.738
1678,e.deluca,25,0,0,1,0,3469598.341
1679,j.neo,24,0,0,1,0,7123467.839
1680,l.schmid,24,0,0,1,0,8364843.46
1681,m.angom,28,0,0,1,0,7357404.055
1682,q.atiku,29,0,0,1,0,4262522.59
1683,e.kalungi,27,0,0,1,0,1581874.99
1684,a.caron,23,1,0,0,0,5536314.676
1685,j.nath,27,1,0,0,0,8705892.821
1686,v.heikkinen,36,1,0,0,0,6968942.244
1687,f.mugabe,22,1,1,0,0,1766585.606
1688,p.rabiu,26,1,1,0,0,4090135.817
1689,c.hamed,22,0,0,0,1,8130854.264
1690,s.namuwonge,24,0,0,0,1,2022210.636
1691,c.ozolis,35,0,1,0,0,1777274.269
1692,y.atoo,23,0,1,0,0,7352085.04
1693,r.nahwera,20,0,1,0,0,9424140.788
1694,y.almutairi,24,0,1,0,0,6994420.896
1695,e.fiore,18,0,1,0,0,6823947.99
1696,a.saeedi,28,0,1,0,0,6231602.82
1697,y.shevchuk,18,0,1,0,0,3601886.219
1698,t.ferrari,21,0,1,0,0,4603314.668
1699,o.avako,30,0,1,0,0,5647884.676
1700,i.kolar,23,0,1,1,0,562249.7664
1701,k.mwanje,22,0,1,1,0,6532884.383
1702,s.lutaaya,21,1,1,0,0,5934983.007
1703,g.fauzi,26,1,1,0,0,4260395.048
1704,x.kazibwe,28,1,1,0,0,8687984.668
1705,v.kwiatkowski,35,0,0,1,0,77596.33105
1706,z.kiirya,21,0,0,1,0,7526703.864
1707,f.sason,28,0,0,1,0,5216864.63
1708,j.ejang,33,0,0,1,0,8784182.867
1709,k.yldz,24,0,0,1,0,5033998.451
1710,v.kao,16,0,0,1,0,737389.9586
1711,k.kizza,31,0,0,1,0,6492875.606
1712,g.feldman,24,0,0,1,0,504148.7902
1713,i.mutabazi,23,0,0,1,0,536808.899
1714,n.tamura,27,0,0,1,0,9326590.289
1715,f.makombe,32,0,0,1,0,9888892.233
1716,l.nakashima,22,0,1,1,0,9798863.842
1717,j.manu,23,0,1,1,0,2011963.893
1718,i.roy,37,1,0,0,0,891294.4709
1719,w.kisitu,23,1,0,0,0,7116975.705
1720,w.suleman,25,1,0,0,0,5615893.869
1721,z.nakayama,24,1,0,0,0,4855521.417
1722,l.ranjbar,17,1,0,1,0,2182801.921
1723,g.zohar,17,1,1,0,0,8586843.459
1724,c.reuben,29,1,1,0,0,1497663.496
1725,z.moreira,23,1,1,0,0,6517114.044
1726,j.colon,21,0,0,0,1,6211615.458
1727,h.saeed,22,0,0,0,1,7775461.247
1728,a.lynch,30,0,0,0,1,8395546.11
1729,g.achia,30,0,1,0,0,9374761.375
1730,b.lao,18,0,1,0,0,2896594.6
1731,d.kimuli,27,0,1,0,0,7750279.437
1732,z.buyinza,30,0,1,0,0,829034.8619
1733,c.goossens,22,0,1,0,0,5267603.442
1734,y.gidudu,33,0,1,0,0,3772720.133
1735,y.muyambo,33,0,1,0,0,4472509.84
1736,p.oneill,24,0,1,1,0,5182665.071
1737,f.segel,28,0,1,1,0,5293086.04
1738,c.chauhan,25,1,1,0,0,5894694.882
1739,b.vandermeer,24,0,0,1,0,3032720.859
1740,j.fukuda,25,0,0,1,0,4802928.646
1741,b.colin,25,0,0,1,0,677577.4998
1742,a.ainomugisha,19,0,0,1,0,1210193.583
1743,a.davies,28,0,0,1,0,7723716.352
1744,l.fuchs,27,0,0,1,0,9271972.549
1745,m.benedetti,21,0,0,1,0,3239072.957
1746,m.rashid,21,0,0,1,0,7332220.549
1747,o.mudzingwa,19,0,0,1,0,3709375.226
1748,x.anena,32,0,0,1,0,6890341.114
1749,y.okwii,31,0,0,1,0,100341.3212
1750,d.balazs,24,0,1,1,0,3501632.165
1751,w.namata,24,1,0,0,0,3931234.418
1752,g.sserugo,30,1,0,0,0,8591074.627
1753,m.nsubuga,22,1,0,0,0,4037431.808
1754,r.nabwire,34,1,0,0,0,3816484.051
1755,a.anwar,27,1,1,0,0,4855351.753
1756,b.yousefi,28,1,1,0,0,8824879.955
1757,i.lehmann,17,1,1,0,0,1697472.519
1758,j.chew,24,1,1,0,0,1349538.99
1759,t.akankwasa,25,1,1,0,0,5274076.107
1760,t.sharifi,23,0,0,0,1,6591324.412
1761,v.ssali,28,0,0,0,1,5172567.587
1762,w.binmohamad,22,0,1,0,0,859906.4229
1763,i.vong,33,0,1,0,0,8849850.892
1764,b.thomsen,23,0,1,0,0,1651046.013
1765,j.riyadi,20,0,1,0,0,2707459.195
1766,p.martinelli,19,0,1,1,0,4105026.452
1767,e.omer,28,1,1,0,0,6368882.826
1768,x.wouters,22,1,1,0,0,5098261.807
1769,f.okon,32,0,0,1,0,3593522.883
1770,g.degroot,29,0,0,1,0,1211436.715
1771,p.sanyu,28,0,0,1,0,1608307.875
1772,q.cheong,20,0,0,1,0,7315830.461
1773,c.mirkovi,29,0,0,1,0,4605077.497
1774,h.francisco,33,0,0,1,0,6484834.96
1775,g.efendi,28,0,0,1,0,1952716.43
1776,g.muzamba,27,0,0,1,0,7518864.385
1777,q.sumarni,17,0,0,1,0,9920645.434
1778,y.vitali,26,0,0,1,0,2167596.834
1779,d.caruso,22,0,0,1,0,7351918.364
1780,t.neves,28,1,0,1,0,8913683.53
1781,j.bahri,23,0,1,1,0,1222760.79
1782,w.mertens,31,1,0,0,0,4552679.115
1783,r.begum,33,1,0,0,0,629286.3704
1784,q.higenyi,22,1,0,0,0,3779240.69
1785,h.sat,20,1,1,0,0,3743587.459
1786,f.ilves,31,1,1,0,0,8592117.915
1787,b.asiedu,30,1,1,0,0,8302724.57
1788,m.mansouri,21,1,1,0,0,5357874.034
1789,i.kat,20,1,1,0,0,6401219.895
1790,n.bello,20,1,1,0,0,4540440.118
1791,h.tuhaise,22,0,0,0,1,2810130.721
1792,p.solanki,24,0,0,0,1,9239248.588
1793,g.boadi,36,0,0,0,1,189383.7083
1794,k.ndiweni,26,0,1,0,0,2158296.112
1795,n.von,22,0,1,0,0,7296936.744
1796,d.schmid,21,0,1,0,0,1465011.612
1797,m.bwire,30,0,1,0,0,1060278.167
1798,g.hungwe,23,0,1,0,0,9086361.211
1799,z.delemovi,24,0,1,0,0,7813031.468
1800,i.as,23,0,0,1,0,7746256.089
1801,w.ta,26,0,0,1,0,9487077.833
1802,f.berger,21,0,0,1,0,2259514.274
1803,n.haas,17,0,0,1,0,4302070.233
1804,o.louis,22,0,0,1,0,5195772.158
1805,p.ssemanda,26,0,0,1,0,2124896.33
1806,s.leung,36,0,0,1,0,4943484.847
1807,w.ajwang,21,0,0,1,0,7363546.354
1808,m.akampurira,27,0,0,1,0,6815569.632
1809,d.saleh,23,0,1,1,0,3990735.709
1810,u.cruz,26,0,1,1,0,6558441.944
1811,o.fischer,28,1,0,0,0,7986061.62
1812,o.nyasulu,28,1,0,0,0,8038913.091
1813,y.nalubwama,27,1,0,0,0,2606585.086
1814,b.kyarisima,23,1,0,1,0,5377999.785
1815,g.kowalczyk,22,1,1,0,0,225005.407
1816,x.byamugisha,34,1,1,0,0,9818771.65
1817,k.smit,26,0,0,0,1,5753786.256
1818,c.odongo,24,0,0,0,1,6249587.338
1819,j.kovai,31,0,0,0,1,1700213.754
1820,z.saeedi,25,0,1,0,0,9326204.563
1821,g.fujita,22,0,1,0,0,2929350.9
1822,a.kimura,32,0,1,0,0,8139794.698
1823,f.mulindwa,18,0,1,0,0,4968373.911
1824,l.kabuye,27,0,1,0,0,2649621.387
1825,r.jimenez,19,0,1,0,0,1971688.07
1826,w.henry,32,0,1,0,0,6031570.678
1827,z.bala,25,0,1,0,0,8024905.739
1828,j.namakoye,31,1,1,0,0,1769120.717
1829,a.hughes,22,1,1,0,0,200791.9752
1830,h.rana,24,1,1,0,0,3126715.941
1831,g.rahmani,18,1,1,0,0,2407604.852
1832,i.greenberg,32,0,0,1,0,3681147.24
1833,d.onzia,28,0,0,1,0,2103619.355
1834,l.sayed,23,0,0,1,0,9588922.039
1835,f.nanfuka,22,0,0,1,0,5640014.798
1836,a.maposa,28,0,0,1,0,4876849.36
1837,v.siregar,16,0,0,1,0,8792990.886
1838,w.fernando,26,0,0,1,0,8717418.978
1839,k.supriadi,26,0,0,1,0,8335480.747
1840,c.alanazi,31,0,0,1,0,4231145.313
1841,k.kwarteng,19,0,0,1,0,3298539.522
1842,l.bekher,18,0,0,1,0,6823022.549
1843,q.henriksen,25,0,0,1,0,1578901.177
1844,h.salah,25,0,0,1,0,1482288.802
1845,h.hansen,33,0,0,1,0,4419930.767
1846,n.muhammadu,24,0,1,1,0,1361212.665
1847,s.mussa,20,1,0,0,0,3756250.798
1848,l.razaie,30,1,0,0,0,6026686.05
1849,b.sah,29,1,0,0,0,4174214.073
1850,i.mwase,24,1,1,0,0,9037588.89
1851,w.lotfi,24,0,0,0,1,1610030.225
1852,b.gondo,32,0,1,0,0,5913929.268
1853,y.hen,19,0,1,0,0,6339916.225
1854,c.arineitwe,26,0,1,0,0,2347433.191
1855,b.putra,24,0,1,0,0,2510014.541
1856,g.frimpong,24,0,1,0,0,6800348.717
1857,t.bhebhe,34,0,1,0,0,4369189.39
1858,c.kova,26,1,1,0,0,625679.0981
1859,c.negri,27,0,0,1,0,1249109.505
1860,w.aciro,27,0,0,1,0,5406048.268
1861,b.bintiothman,21,0,0,1,0,3258046.746
1862,f.tumuheirwe,26,0,0,1,0,2911239.887
1863,n.atai,28,0,0,1,0,942415.9551
1864,a.kimura,32,0,0,1,0,3211298.068
1865,e.atim,25,0,0,1,0,1326889.227
1866,f.yusuf,25,0,0,1,0,915364.1346
1867,l.vanags,32,0,0,1,0,3402177.384
1868,m.namiiro,33,0,0,1,0,5201999.366
1869,v.lahtinen,22,0,0,1,0,6621937.97
1870,v.macuacua,32,0,0,1,0,2313560.226
1871,f.hang,24,0,1,1,0,5989973.821
1872,p.nakyanzi,17,1,0,0,0,5477510.897
1873,z.kebirungi,21,1,0,0,0,6370051.126
1874,q.acen,23,1,0,0,0,8560274.29
1875,b.binabdrahman,20,1,0,0,0,8968119.583
1876,s.soon,22,1,0,0,0,6914343.591
1877,j.soares,36,1,1,0,0,3579435.217
1878,a.patal,28,1,1,0,0,8399404.887
1879,b.muduwa,25,1,1,0,0,6829918.352
1880,e.binmohamed,22,0,0,0,1,2410957.424
1881,l.namaganda,26,0,0,0,1,589481.9422
1882,h.teo,33,0,1,0,0,6500978.614
1883,i.conte,26,0,1,0,0,3596528.535
1884,l.mandala,29,0,1,0,0,3380561.418
1885,o.namusoke,21,0,1,0,0,7549893.884
1886,g.ibraimo,34,0,1,0,0,3821680.181
1887,b.mayer,30,0,1,0,0,3125626.118
1888,f.meier,17,0,1,0,0,957042.9246
1889,n.dutta,26,0,1,0,0,1794030.547
1890,w.nakato,22,0,1,0,0,1737280.509
1891,b.nakandi,27,1,1,0,0,871199.4041
1892,a.nanjala,20,1,1,0,0,9615874.979
1893,q.abo,28,0,0,1,0,3990506.501
1894,c.haas,27,0,0,1,0,4895615.135
1895,y.rodriguez,32,0,0,1,0,819569.5962
1896,b.savolainen,25,0,0,1,0,9160196.057
1897,z.kiirya,21,0,0,1,0,2081250.408
1898,s.candiru,21,0,0,1,0,7386079.476
1899,u.mayer,21,0,0,1,0,2995219.745
1900,i.franke,27,0,0,1,0,7818449.172
1901,i.paswan,24,0,0,1,0,6200861.105
1902,l.karungi,20,0,0,1,0,3166203.788
1903,h.ayaa,19,0,1,1,0,2170296.292
1904,z.kebirungi,21,1,0,0,0,8081667.824
1905,e.amanya,36,1,0,0,0,6525959.778
1906,f.gatti,22,1,0,0,0,3626352.54
1907,k.nakakande,32,1,0,0,0,6715867.04
1908,y.akiror,19,1,0,0,0,3110100.652
1909,b.quaye,21,1,0,0,0,4142192.54
1910,i.goh,20,1,0,1,0,2633845.66
1911,p.mlotshwa,21,1,0,1,0,931232.5871
1912,g.caputo,21,0,0,0,1,4255115.935
1913,d.sorrentino,29,0,0,0,1,5213187.454
1914,g.lutaaya,18,0,0,0,1,9822303.618
1915,a.anwar,27,0,1,0,0,9287634.247
1916,j.kyasimire,25,0,1,0,0,7048610.04
1917,x.kanyunyuzi,30,0,1,0,0,4159131.084
1918,a.dekker,26,0,1,0,0,3112515.859
1919,t.kyogabirwe,21,0,1,0,0,7929493.671
1920,w.soltani,25,0,1,0,0,924326.7936
1921,c.fumo,17,0,1,0,0,1860698.989
1922,g.szymaski,24,0,1,0,0,1515126.996
1923,j.hasahya,22,0,1,0,0,2162770.154
1924,i.gajdos,27,1,1,0,0,4232408.417
1925,a.nanjala,20,1,1,0,0,3108865.427
1926,i.gumede,27,0,0,1,0,7915308.398
1927,a.radu,33,0,0,1,0,9770694.362
1928,z.wu,24,0,0,1,0,2335451.183
1929,m.atuhaire,30,0,0,1,0,9325467.325
1930,r.ishii,34,0,0,1,0,5584160.449
1931,v.olanya,28,0,0,1,0,2218349.923
1932,d.amanyire,30,0,0,1,0,3935532.532
1933,d.deli,32,0,0,1,0,3373415.513
1934,p.tzur,31,0,0,1,0,3983967.525
1935,r.song,17,0,0,1,0,8920552.89
1936,s.kamoga,20,0,0,1,0,4862325.214
1937,z.testa,23,0,1,1,0,6200154.326
1938,b.maruyama,26,0,1,1,0,6716883.185
1939,m.rashid,21,0,1,1,0,8533958.299
1940,e.gayakwad,21,1,0,0,0,9448713.823
1941,f.oyama,30,1,0,0,0,7796739.864
1942,e.munduru,17,1,0,0,0,1415158.339
1943,b.phillips,26,1,0,0,0,9947494.963
1944,f.akwero,25,1,1,0,0,5095739.928
1945,j.koval,35,0,0,0,1,1407734.853
1946,a.berkowitz,33,0,0,0,1,6152196.149
1947,y.cheu,17,0,1,0,0,4542521.443
1948,c.chand,27,0,1,0,0,9332383.768
1949,z.griffiths,26,0,1,0,0,6489941.501
1950,j.dubois,27,0,1,0,0,4802488.188
1951,w.cheang,34,0,1,0,0,9299487.748
1952,d.sigauke,22,0,1,0,0,3690345.732
1953,e.hasahya,25,0,1,0,0,648775.1237
1954,u.guillot,23,1,1,0,0,8145679.787
1955,j.mubangizi,18,0,0,1,0,2728015.309
1956,s.musoki,26,0,0,1,0,2552917.337
1957,v.kaneko,29,0,0,1,0,3753772.164
1958,d.namayanja,22,0,0,1,0,6979162.218
1959,u.mansour,22,0,0,1,0,2226458.109
1960,h.byamugisha,22,0,0,1,0,8993831.876
1961,g.neumbe,31,0,0,1,0,3396249.983
1962,i.mutabazi,23,0,0,1,0,3126367.258
1963,o.juarez,17,0,0,1,0,1672378.83
1964,x.nakong,27,0,0,1,0,7069623.316
1965,m.rojas,19,0,1,1,0,8161722.121
1966,s.sanchez,32,0,1,1,0,4086043.771
1967,b.kiyimba,26,0,1,1,0,3337634.188
1968,e.zacarias,25,1,0,0,0,1532759.643
1969,l.novak,28,1,0,0,0,7946207.026
1970,m.nyamahunge,31,0,0,0,1,5703201.607
1971,l.ocokoru,36,0,0,0,1,5953852.563
1972,v.guillaume,32,0,0,0,1,6077827.793
1973,d.mattila,25,0,1,0,0,7645080.506
1974,d.roussel,22,0,1,0,0,4319604.934
1975,u.chavez,27,0,1,0,0,3124139.112
1976,f.ndou,31,0,1,0,0,2117563.408
1977,b.kansiime,24,1,1,0,0,9309092.935
1978,l.mandala,29,1,1,0,0,6676801.61
1979,j.maeda,27,1,1,0,0,2926215.492
1980,o.suzuki,18,1,1,0,0,5764660.603
1981,r.uchida,22,1,1,0,0,7853972.423
1982,c.sulaiman,26,0,0,1,0,8746292.74
1983,h.jansson,24,0,0,1,0,4220473.963
1984,a.barbieri,31,0,0,1,0,5233419.353
1985,d.siregar,23,0,0,1,0,400268.2748
1986,g.perez,26,0,0,1,0,2123366.718
