,Player,Squad,Salary0,Salary1,Salary2,Salary3,Salary4,Salary5,Salary6,Salary7,Salary8,Salary9
349,h.rees,Jumping Beans,23010000,24014022.87,23790120.11,24108161.96,24032948.62,23755623.27,23872498.9,23814494.3,23862110.16,24076728.37,23854498.64
350,e.ayerango,Jumping Beans,6670000,6896136.51,6988328.56,6966526.18,6886136.77,6920015.98,6903201.96,6917004.55,6979216.78,6914798.17,6938309.67
351,r.rusere,Jumping Beans,25090000,26191338.17,26059346.61,26184782,25940639.44,26287430.84,26205418.55,25903024.24,26030464.9,25967216.95,26019137.07
352,x.opira,Jumping Beans,11190000,11706241.27,11633264.31,11507466.1,11712495.7,11681190.68,11622323.18,11678266.66,11569380.44,11724047.47,11687470.45
353,f.binishak,Overconfident Kangaroos,14680000,15360555.08,15218776.19,15270522.63,15581088.1,14680000,14680000,14680000,14680000,14680000,14680000
354,k.amer,Overconfident Kangaroos,24570000,25648512.51,25519256.52,25642092.22,25403009.61,25742613.62,25662301.07,25366173.99,25490973.4,25429036.29,25479880.34
355,k.ber,Overconfident Kangaroos,17830000,18536291.57,18335846.34,18662537.83,18612656.82,18518858.11,18607997.73,18434499.85,18680944.27,18622662.93,18407768.92
356,s.aisyah,Overconfident Kangaroos,10830000,11248414.66,11302558.35,11197175.18,11346866.32,11311466.04,11180938.72,11235947.98,11208647.25,11231058.37,11332071.63
357,y.koay,Overconfident Kangaroos,13180000,13607088.86,13674034.57,13640809.86,13668083.96,13791016.07,13663724.12,13710183.12,13989015.06,13180000,13180000
358,q.mangwiro,Overconfident Kangaroos,20440000,21132988.05,21415507.63,21348694.91,21102344.18,21206165.91,21154639.88,21196937.49,21387584.87,21190176.1,21262226.33
359,u.mustapha,Overconfident Kangaroos,24470000,25439318.83,25164226.58,25612579.96,25544122.96,25415393.04,25537728.8,25299619.26,25637841.08,25557855.4,25262933.56
360,h.sugiyama,Overconfident Kangaroos,28570000,29933515.31,29840127.86,29495791.25,29640908.02,29568887.54,29628009.01,29894486.29,29618558.28,29719266.45,30323684.4
361,q.awekonimungu,Overconfident Kangaroos,28840000,30098410.24,29817777.66,30216401.17,30122131.17,29774540.42,29921028.61,29848327.5,29908007.7,30177003.31,29898467.66
362,e.wibowo,Overconfident Kangaroos,16090000,16611385.41,16693112.01,16652551.65,16685847.57,16835921.75,16680525.12,16737241.76,17077636.75,16090000,16090000
363,b.ochieng,Overconfident Kangaroos,24940000,24940000,24940000,24940000,24940000,24940000,24940000,24940000,24940000,24940000,24940000
364,g.nakisuyi,Overconfident Kangaroos,20200000,21081410.78,20884851.2,21164053.52,21098025.3,20854567.14,20957169.83,20906248.8,20948049.77,21136458.63,20941367.78
365,f.bello,Overconfident Kangaroos,24890000,26077885.75,25996527.21,25696543.38,25822968.17,25760224.39,25811730.64,26043883.92,25803497.22,25891233.53,26417798.55
366,i.salminen,Overconfident Kangaroos,10790000,11184583.86,11287787.61,11217419.3,11096117.89,11293818.46,11263632.48,11206869.27,11260812.99,11155819.03,11304957.3
367,m.jha,Overconfident Kangaroos,25320000,26205258.4,26257654.47,26493818.44,26249278.82,26338530.85,26874192.82,25320000,25320000,25320000,25320000
368,y.ademovi,Overconfident Kangaroos,22560000,23395445.69,23605866.67,23387983.02,23467506.16,23944778.44,22560000,22560000,22560000,22560000,22560000
369,y.zia,Overconfident Kangaroos,15920000,16516739.79,16476607.97,16509552.1,16658040.66,16504285.89,16560403.29,16897201.81,15920000,15920000,15920000
370,d.kakande,Overconfident Kangaroos,22650000,23656944.21,23383957.71,23499004.79,23441907.69,23488778.58,23700039.01,23481286.14,23561126.53,24040302.82,22650000
371,q.ajiko,Overconfident Kangaroos,38960000,40465210.99,40659988.32,40280881.33,40819382.44,40692032.95,40222472.07,40420363.2,40322151.16,40402773.23,40766159.81
372,x.ssemakula,Serious Thunderbirds,15690000,16378720.44,16296179.68,16374620.55,16221946.31,16438811.87,16387525.59,16198423.69,16278118.55,16238566.52,16271034.7
373,a.nakiranda,Serious Thunderbirds,23190000,24108614.78,23847912.31,24272812.8,24207936.71,24085940.53,24201877.03,23976222.74,24296752.54,24220950.83,23941456.04
374,e.fernando,Serious Thunderbirds,21360000,22052156.15,22160650.87,22106805.66,22151007.09,22350235.46,22143941.37,22219234.56,22671120.01,21360000,21360000
375,e.schmitz,Serious Thunderbirds,17850000,18683471.69,18633534.73,18539630.81,18628870.42,18455177.92,18701898.78,18643552.06,18428417,18519083.24,18474086.19
376,u.chen,Serious Thunderbirds,27720000,29421509.68,27720000,27720000,27720000,27720000,27720000,27720000,27720000,27720000,27720000
377,l.rostami,Serious Thunderbirds,19040000,19886455.53,19656978.14,19753688.79,19705691.94,19745092.46,19922681.8,19738794.18,19805909.46,20208713.72,19040000
378,s.agustina,Serious Thunderbirds,6580000,6826642.45,6810055.3,6823671.66,6885044.44,6821495.05,6844689.3,6983893.71,6580000,6580000,6580000
379,k.guerra,Serious Thunderbirds,25510000,26233731.91,26701140.78,26629774.28,26495573.21,26623108.37,26374878.92,26727475.52,26644090.37,26336634.05,26466208.04
380,t.amutuhaire,Serious Thunderbirds,10890000,11368022.03,11310732.74,11365176.41,11259209.39,11409729.85,11374133.44,11242882.98,11298197,11270745.02,11293280.3
381,d.dumitru,Serious Thunderbirds,28060000,29011332.91,29399175.34,29307454.95,28969265.05,29111791.36,29041056.5,29099122.61,29360843.02,29089840.58,29188751.02
382,i.okada,Serious Thunderbirds,29310000,30385717.3,30489033.94,31109107.09,29310000,29310000,29310000,29310000,29310000,29310000,29310000
383,v.gallo,Serious Thunderbirds,28500000,29568284.17,29496440.14,29555416.76,29821241.13,29545989.19,29646450.6,30249387.66,28500000,28500000,28500000
384,h.kamal,Serious Thunderbirds,31230000,32486268.5,33146960.58,31230000,31230000,31230000,31230000,31230000,31230000,31230000,31230000
385,i.sano,Serious Thunderbirds,5240000,5481743.01,5447569.7,5388661.51,5484671.8,5470012.44,5442446.24,5468643.19,5417654.47,5490081.21,5472953.1
386,v.ezra,Serious Thunderbirds,15160000,15825455.83,15745703.25,15821494.43,15673977.44,15883517.4,15833963.54,15651249.4,15728252.21,15690036.23,15721407.65
387,g.avraham,Serious Thunderbirds,17810000,18591778.91,18498085.41,18587125.05,18413821.78,18659989.77,18601773.79,18387120.83,18477583.9,18432687.68,18469542.89
388,h.nsungwa,Serious Thunderbirds,24890000,26052191.06,25982559.07,25851619.65,25976055.16,25733858.74,26077885.75,25996527.21,25696543.38,25822968.17,25760224.39
389,n.opolot,Serious Thunderbirds,1630000,1705198.68,1694568.44,1676243.94,1706109.74,1701549.67,1692974.69,1701123.74,1685262.75,1707792.44,1702464.42
390,n.oyama,Serious Thunderbirds,11790000,12202211.55,12226609.25,12336576.6,12222709.21,12264268.51,12513694.05,11790000,11790000,11790000,11790000
391,c.nankya,Serious Thunderbirds,35850000,37270109.52,36867083.07,37523947.35,37423653.78,37235056.83,37414285.96,37065441.37,37560956.38,37443772.62,37011694.66
392,h.munetsi,Serious Thunderbirds,27800000,28771966.17,28829494.24,29088789.6,28820298.23,28918292.17,29506420.24,27800000,27800000,27800000,27800000
393,e.ilukol,Simple Jayhawks,21600000,22542498.66,22332316.14,22630869.12,22560264.68,22299933.18,22409646.95,22355196.74,22399894.81,22601361.7,22392749.7
394,f.olinga,Simple Jayhawks,17170000,17726382.07,17813594.36,17770311.48,17805842.31,17965989.83,17800162.61,17860686.21,18223929.33,17170000,17170000
395,m.ruggiero,Simple Jayhawks,19470000,20319557.82,20130101.63,20399213.97,20335571.91,20100911.99,20199806.76,20150725.95,20191016.29,20372616.31,20184575.77
396,l.masaba,Simple Jayhawks,14600000,15135840.08,15187304.52,15496177.54,14600000,14600000,14600000,14600000,14600000,14600000,14600000
397,r.dumont,Simple Jayhawks,7420000,7671564.16,7774122.63,7749868.7,7660440.01,7698128.72,7679424.07,7694778.68,7763986.29,7692324.2,7718479.42
398,e.ooi,Simple Jayhawks,16860000,17600078.18,17511382.37,17595672.56,17431613.43,17664650.61,17609539.93,17406336.73,17491974.42,17449473.01,17484362.34
399,d.tshuma,Simple Jayhawks,30920000,31968296.99,32395670.05,32294601.1,31921941.39,32078994.61,32001050.15,32065034.6,32353430.73,32054806.52,32163798.34
400,e.okonkwo,Simple Jayhawks,14060000,14458889.48,14716504.87,14677170.77,14603204.99,14673496.81,14536683.56,14731019.43,14685061.17,14515604.65,14587020.19
401,s.moss,Simple Jayhawks,36280000,38011478.31,37892889,37455628.51,37639907,37548450.82,37623527.02,37961916.78,37611525.88,37739411.51,38506939.79
402,x.kwesiga,Simple Jayhawks,20670000,21635146.21,21577320.05,21468580.88,21571918.85,21370785.86,21656484.47,21588919.95,21339797.17,21444787.15,21392681.32
403,h.amponsah,Simple Jayhawks,34760000,36305314.82,35886373.95,36062931.85,35975307.35,36047238.12,36371450.59,36035739.8,36158267.47,36893639.12,34760000
404,a.salazar,Simple Jayhawks,22880000,23763963.74,23878350.43,23655712.65,23971957.66,23897169.25,23621410.7,23737626.03,23679949.14,23727295.98,23940701.65
405,r.rizzi,Simple Jayhawks,20690000,21649174.7,21449351.45,21522282.91,21959994.06,20690000,20690000,20690000,20690000,20690000,20690000
406,f.evans,Simple Jayhawks,15110000,15693771.51,15769312.72,15622282.26,15831131.13,15781740.71,15599629.18,15676378.03,15638288.09,15669556.04,15810489.6
407,q.kaseke,Simple Jayhawks,25010000,26101291.27,25857927.16,26203612.8,26121862.02,25820431.89,25947466.21,25884419.93,25936174.5,26169447.04,25927901.39
408,a.nwachukwu,Simple Jayhawks,17850000,18628870.42,18455177.92,18701898.78,18643552.06,18428417,18519083.24,18474086.19,18511024.18,18677514.18,18505119.54
409,p.oravec,Simple Jayhawks,24660000,25584346.93,25522182.94,25573213.24,25803221.28,25565055.91,25651981.47,26173680.69,24660000,24660000,24660000
410,s.nalugwa,Simple Privateers,17430000,18069704.97,18131145.05,18499888.66,17430000,17430000,17430000,17430000,17430000,17430000,17430000
411,m.ma,Simple Privateers,9760000,10146618.38,10036896.26,10215724.58,10188420.11,10137075.44,10185869.76,10090898.4,10225800.12,10193897.37,10076266.1
412,j.kinoshita,Simple Privateers,8790000,9197498.58,9112605.09,9143589.5,9329547.98,8790000,8790000,8790000,8790000,8790000,8790000
413,h.naluyima,Simple Privateers,1.8e+07,18610263.45,18859057.6,18800220.56,18583277.65,18674705.79,18629330.62,18666579.01,18834468.08,18660624.75,18724074.07
414,h.lefebvre,Simple Privateers,29870000,30882698.29,31295558.36,31197921.57,30837916.86,30989636.77,30914339.19,30976150.83,31254753.43,30966270.07,31071560.69
415,u.utomo,Simple Privateers,15800000,16425878.12,16248254.18,16537750.85,16493548.95,16410429.51,16489420.31,16335675.69,16554061.67,16502415.83,16311988.16
416,o.martini,Simple Privateers,32990000,34429492.16,34108477.29,34564461.67,34456626.47,34059018.32,34226585.78,34143423.17,34211691.19,34519394.56,34200778.36
417,v.arnold,Simple Privateers,11630000,12185046.66,12147031.4,12006862.17,12065934.91,12036617.5,12060684.1,12169159.1,12056836.99,12097832.3,12343872.93
418,b.binawang,Simple Privateers,27310000,28613381.27,28524112.42,28194961.82,28333678.62,28264834.4,28321348.48,28576073.52,28312314.55,28408581.26,28986343.05
419,p.otto,Simple Privateers,20210000,20916598.43,20958420.1,21146922.22,20951734.79,21022974.27,21450530.68,20210000,20210000,20210000,20210000
420,w.mugisha,Simple Privateers,20160000,20813270.97,20915670.48,20864850.29,20906568.49,21094604.25,20899899.72,20970962.95,21397461.58,20160000,20160000
421,t.owiny,Simple Privateers,22680000,23448931.95,23762412.57,23688277.91,23414929.84,23530129.3,23472956.58,23519889.55,23731429.79,23512387.19,23592333.32
422,b.nakabugo,Simple Privateers,21130000,22109572.81,21905500.05,21979982.5,22427002.15,21130000,21130000,21130000,21130000,21130000,21130000
423,j.kirabo,Simple Privateers,26560000,27628411.51,28190306.53,26560000,26560000,26560000,26560000,26560000,26560000,26560000,26560000
424,v.nagawa,Simple Privateers,33720000,35294491.06,35200156.36,35022764.75,35191345.12,34863226.86,35329301.23,35219079.86,34812673.47,34983948.85,34898946.02
425,f.hubert,Solemn Leopards,27540000,28854358.12,28764337.46,28432414.81,28572299.86,28502875.84,28559865.88,28816736.17,28550755.87,28647833.32,29230460.91
426,r.mutumba,Solemn Leopards,30020000,31421726.62,31337743,31179816.07,31329898.59,31037783.82,31452717.17,31354590.07,30992777.51,31145259.32,31069583.62
427,m.tseu,Solemn Leopards,18350000,19058948.19,19150687.51,18972129.68,19225761.49,19165780.41,18944619.16,19037825.07,18991567.6,19029540.26,19200693.85
428,a.pena,Solemn Leopards,19020000,19684992.68,19724351.82,19901754.61,19718060.15,19785104.93,20187486.08,19020000,19020000,19020000,19020000
429,p.chi,Solemn Leopards,12610000,13050881.06,13076975.63,13194591.25,13072804.34,13117254.11,13384027.31,12610000,12610000,12610000,12610000
430,f.baguma,Solemn Leopards,27960000,28866024.62,29008042.99,28937560.22,28995419.39,29256207.09,28986170.44,29084728.38,29676241.36,27960000,27960000
431,f.kobugabe,Solemn Leopards,23400000,24063870.12,24492618.35,24427154.77,24304053.83,24421040.21,24193342.48,24516774.87,24440286.73,24158260.95,24277117.53
432,c.omar,Solemn Leopards,28270000,29258398.7,29316899.36,29580578.49,29307547.87,29407198.55,30005269.79,28270000,28270000,28270000,28270000
433,q.okiror,Solemn Leopards,34100000,35351516.89,35471718.09,36193126.98,34100000,34100000,34100000,34100000,34100000,34100000,34100000
434,s.abdullahi,Solemn Leopards,27380000,28597224.39,28267230.12,28406302.47,28337281.79,28393940.73,28649318.67,28384883.65,28481397.11,29060639.79,27380000
435,p.jackson,Solemn Leopards,26230000,27147074.56,27201353.74,27446005.44,27192677.07,27285136.82,27840050.46,26230000,26230000,26230000,26230000
436,t.marques,Solemn Leopards,29270000,30429459.02,30100405.06,30636706.8,30554821.37,30400839.98,30547172.95,30262356.18,30666923.1,30571247.55,30218474.27
437,f.schafer,Solemn Leopards,22680000,23669623.59,23448931.95,23762412.57,23688277.91,23414929.84,23530129.3,23472956.58,23519889.55,23731429.79,23512387.19
438,a.mbusa,Solemn Leopards,22320000,23690046.75,22320000,22320000,22320000,22320000,22320000,22320000,22320000,22320000,22320000
439,n.tumwesigye,Solemn Leopards,16350000,16350000,16350000,16350000,16350000,16350000,16350000,16350000,16350000,16350000,16350000
440,a.odaga,Solemn Leopards,19460000,20140376.32,20180645.97,20362152.72,20174208.76,20242804.52,20654494.17,19460000,19460000,19460000,19460000
441,k.makaza,Solemn Leopards,30230000,31254903.56,31672739.51,31573925.98,31209582.41,31363130.89,31286925.81,31349482.41,31631442.79,31339482.57,31446042.17
442,q.ruzvidzo,Solemn Leopards,22830000,23604017.48,23919571.38,23844946.42,23569790.49,23685751.84,23628201,23675444.37,23888383.69,23667892.39,23748367.27
443,z.heinonen,Solemn Leopards,27090000,28279129.18,28136616.16,28272050.4,28008446.49,28382881.68,28294331.95,27967832.87,28105432.21,28037142.58,28093201.4
444,k.baumann,Solemn Leopards,24230000,25051482.41,25386386.98,25307185.79,25015156.53,25138228.96,25077148.93,25127289.41,25353286.76,25119274.32,25204684.15
445,m.chavula,Somber Stallions,18200000,18873985.44,19043739.95,18867965.03,18932119.33,19317152.82,18200000,18200000,18200000,18200000,18200000
446,w.aciro,Somber Stallions,20240000,20895863.32,20998669.18,20947647.31,20989531.06,21178313,20982835.83,21054181.06,21482372.15,20240000,20240000
447,i.nabatanzi,Somber Stallions,16110000,16110000,16110000,16110000,16110000,16110000,16110000,16110000,16110000,16110000,16110000
448,p.nahabwe,Somber Stallions,6510000,6694692.07,6813972.03,6795759.72,6761512.41,6794058.62,6730711.95,6820692.5,6799413.1,6720952.08,6754018.59
449,s.lamptey,Somber Stallions,24140000,24824864.3,25267171.24,25199637.44,25072643.57,25193329.52,24958431.09,25292091.69,25213184.69,24922240.14,25044855.43
450,m.nagudi,Somber Stallions,20320000,21289780.58,21223360.1,20978455.66,21081667.87,21030444.34,21072493.63,21262021.75,21065771.94,21137399.17,21567282.71
451,l.james,Somber Stallions,18100000,18799289.5,18889778.97,18713653.8,18963830.14,18904666.23,18686518.08,18778454.16,18732826.9,18770282.22,18939104.02
452,e.tumukunde,Somber Stallions,23790000,24828057.55,24596564.86,24925387.79,24847624.85,24560898.63,24681736.15,24621765.3,24670995.25,24892888.65,24663125.71
453,l.aguilar,Somber Stallions,20940000,21853700.09,21649939.81,21939370.34,21870923.26,21618546.34,21724907.74,21672121.28,21715453.58,21910764.54,21708526.79
454,i.kumari,Somber Stallions,14620000,15115669.54,15317745.67,15269956.92,15093751.07,15168011.04,15131156.31,15161410.28,15297773.52,15156574.1,15208109.05
455,e.longwe,Somber Stallions,16210000,16966895.02,16921546.1,16836269.77,16917310.33,16759576.14,16983629.09,16930643.07,16735273.93,16817610.05,16776747.18
456,g.jesus,Somber Stallions,14090000,14618144.7,14582626.02,14611783.23,14743203.07,14607122.37,14656789.09,14954872.7,14090000,14090000,14090000
457,k.gao,Somber Stallions,27140000,28060141.67,28435267.95,28346554.78,28019453.08,28157306.4,28088890.72,28145053.01,28398192.43,28136075.32,28231742.79
458,e.teixeira,Somber Stallions,19540000,20094359.92,20452383.02,20397718.13,20294923.58,20392612.21,20202474.88,20472554.75,20408683.88,20173180.3,20272430.62
459,k.guillaume,Somber Stallions,28400000,29646632.29,29497227.72,29639211.19,29362860.11,29755401.98,29662570.22,29320282.52,29464535.8,29392943.86,29451713.54
460,x.durand,Somber Stallions,34480000,35993516.94,35812127.18,35984507.11,35648993.54,36125572.55,36012866.95,35597300.75,35772436.42,35685517.76,35756869.12
461,k.koppel,Somber Stallions,28720000,29829590.85,29973174.14,29693709.24,30090674.12,29996796.37,29650651.9,29796530.57,29724131.96,29783563.84,30051440.19
462,g.asiedu,Supreme Janes,17950000,18782150.12,18608789.68,18672062.75,19051807.31,17950000,17950000,17950000,17950000,17950000,17950000
463,l.hasegawa,Supreme Janes,12520000,12925702.01,12989295.36,12957734.41,12983642.73,13100418.91,12979501.21,13023633.74,13288502.93,12520000,12520000
464,g.suad,Supreme Janes,14680000,15155695.33,15230260.06,15193254.08,15223632.21,15360555.08,15218776.19,15270522.63,15581088.1,14680000,14680000
465,i.nantale,Supreme Janes,15230000,15762483.63,15793999.9,15936052.72,15788961.94,15842647.11,16164848.21,15230000,15230000,15230000,15230000
466,j.ferri,Supreme Janes,11090000,11449363.84,11505693.73,11477737.59,11500686.73,11604125.06,11497018.25,11536110.08,11770726.64,11090000,11090000
467,k.balogun,Supreme Janes,13740000,14270841.86,14339533.87,14205834.43,14395747.3,14350835.03,14185235.27,14255025.42,14220389.04,14248821.97,14376977.3
468,k.macuacua,Supreme Janes,18460000,19265487.28,19085859.07,19341011.29,19280670.65,19058183.64,19151948.27,19105413.51,19143613.8,19315793.38,19137507.38
469,h.sentongo,Supreme Janes,23370000,24127288.82,24245993.02,24187080.92,24235441.74,24453417.73,24227711.13,24310089.5,24804497.88,23370000,23370000
470,b.roche,Supreme Janes,32890000,34459689.13,34352180.8,33955777.89,34122837.41,34039926.89,34107987.97,34414758.63,34097108.22,34213044.22,34908854.74
471,h.pang,Supreme Janes,15340000,16013357.02,15932657.51,16009348.58,15860080.07,16072107.97,16021965.75,15837082.18,15914999.27,15876329.54,15908073.44
472,e.lund,Supreme Janes,34320000,35483568.98,35957936.48,35845753.88,35432116.06,35606439.04,35519923.71,35590943.97,35911052.48,35579591.19,35700567.89
473,r.mkandla,Supreme Janes,23710000,24478306.28,24598737.46,24538968.27,24588032.68,24809179.9,24580189.6,24663766.45,25165367.77,23710000,23710000
474,o.burgos,Supreme Janes,20640000,21603745.42,21546003.18,21437421.84,21540609.83,21339768.76,21625052.71,21557586.25,21308825.04,21413662.64,21361632.44
475,g.albrecht,Supreme Janes,17110000,17771041.07,17856581.11,17690089.31,17926581.97,17870654.1,17664437.81,17751345.34,17708213.71,17743620.38,17903208.27
476,p.lo,Supreme Janes,24590000,25763568.13,25683190.2,25386822.08,25511723.08,25449735.55,25500620.99,25729976.12,25492486.81,25579165.63,26099383.95
477,b.apio,Supreme Janes,33340000,34822186.31,34420359.83,34589705.06,34505660.15,34574652.45,34885620.33,34563623.84,34681146.08,35386476.65,33340000
478,l.mirzaei,Supreme Janes,27350000,28627056.07,28550542.01,28406661.21,28543395.29,28277261.41,28655290.29,28565890.69,28236257.99,28375177.96,28306232.91
479,h.romero,Swift Rustlers,22690000,23566623.14,23680059.93,23459270.98,23772889.83,23698722.48,23425253.88,23540504.13,23483306.2,23530259.87,23741893.38
480,a.schmidt,Swift Rustlers,34970000,36524650.73,36103178.86,36280803.42,36192649.54,36265014.88,36591186.05,36253447.08,36376715,37116529.34,34970000
481,d.tweheyo,Swift Rustlers,17560000,18255596.18,18058186.3,18379930.7,18330805.03,18238426.72,18326216.5,18155345.9,18398058.41,18340659.62,18129019.75
482,o.bosnjak,Swift Rustlers,25600000,26821770.8,26738091.47,26429550.44,26559581.57,26495047.99,26548023.48,26786799.05,26539555.2,26629794.23,27171379.79
483,o.ninsiima,Swift Rustlers,30680000,31720160.15,32144215.95,32043931.49,31674164.35,31829998.54,31752659.07,31816146.88,32102304.49,31805998.19,31914144.02
484,l.castro,Swift Rustlers,28080000,29132541.03,29061755.76,29119863.25,29381770.21,29110574.61,29209555.54,29803607.21,28080000,28080000,28080000
485,f.monday,Swift Rustlers,23440000,24259528.31,24308033.99,24526662.88,24300280.23,24382905.34,24878794.62,23440000,23440000,23440000,23440000
486,z.pinto,Swift Rustlers,22360000,23223873.66,23335660.64,23118082.82,23427140.44,23354051.77,23084560.46,23198134.53,23141768.48,23188039.25,23396594.8
487,q.permana,Swift Rustlers,8550000,8870485.25,8848932.04,8866625.03,8946372.34,8863796.76,8893935.18,9074816.3,8550000,8550000,8550000
488,c.langa,Swift Rustlers,20670000,21256418.61,21635146.21,21577320.05,21468580.88,21571918.85,21370785.86,21656484.47,21588919.95,21339797.17,21444787.15
489,f.perrin,Swift Rustlers,16290000,17050630.47,17005057.74,16919360.55,17000801.07,16842288.42,17067447.12,17014199.61,16817866.28,16900608.74,16859544.21
490,l.prasad,Swift Rustlers,27020000,28198996,27936073.25,28309540.9,28221219.98,27895564.56,28032808.36,27964695.18,28020609.15,28272629.31,28011671.15
491,y.molnar,Swift Rustlers,17110000,17737960.53,17798272.63,18160246.41,17110000,17110000,17110000,17110000,17110000,17110000,17110000
492,c.danquah,Unaccountable Foxes,29950000,31256844.2,30965410.57,31379376.39,31281478.11,30920509.2,31072635.47,30997136.22,31059113.4,31338462.17,31049206.18
493,b.nandudu,Unaccountable Foxes,10250000,10656028.52,10540797.81,10728604.19,10699928.91,10646006.48,10697250.52,10597511.13,10739185.58,10705681.15,10582144.22
494,j.delemovi,Unaccountable Foxes,18760000,19396030.13,19655328.92,19594007.65,19367904.93,19463193.37,19415902.35,19454723.45,19629701.18,19448517.8,19514646.08
495,d.byogero,Unaccountable Foxes,20620000,21376782.35,21449467.07,21885697.31,20620000,20620000,20620000,20620000,20620000,20620000,20620000
496,u.arthur,Unaccountable Foxes,15250000,15814740.55,15956979.9,15809695.97,15863451.64,16186075.85,15250000,15250000,15250000,15250000,15250000
497,e.nakayiza,Unaccountable Foxes,17040000,17783526.72,17617716.07,17853241.19,17797542.13,17592169.51,17678721.48,17635766.32,17671028.13,17829963.12,17665391.43
498,h.nyombi,Unaccountable Foxes,14450000,14939905.94,15139632.35,15092399.29,14918242.34,14991638.81,14955212.63,14985114.81,15119892.43,14980334.87,15031270.57
499,f.got,Unaccountable Foxes,34500000,36033756.08,35617948.83,35793186.1,35706217.01,35777609.76,36099397.16,35766197.44,35887808.63,36617679.79,34500000
500,u.iskandar,Unaccountable Foxes,26800000,27969396.48,27708614.47,28079041.31,27991439.51,27668435.62,27804561.95,27737003.36,27792462.08,28042430.26,27783596.85
501,j.rinaldi,Unaccountable Foxes,28380000,29476455.03,29618338.51,29342182.04,29734447.48,29641681.09,29299634.43,29443786.13,29372244.6,29430972.9,29695678.01
502,y.manjate,Unaccountable Foxes,29160000,30551673.31,30456357.31,30104909.8,30253023.38,30179515.6,30239857.99,30511838.3,30230212.1,30332999.99,30949899.79
503,f.carbone,Unaccountable Foxes,14750000,15302883.91,15265701.48,15296224.46,15433800.24,15291345.28,15343338.47,15655384.84,14750000,14750000,14750000
504,m.mugeni,Unaccountable Foxes,31860000,32763884.7,33347641.91,33258510.73,33090904.06,33250185.52,32940166.31,33380531.94,33276390.4,32892401.44,33054229.25
505,b.akullu,Unaccountable Foxes,35470000,37026973.49,36840375.61,37017704.97,36672558.03,37162820.72,37046879.08,36619381.02,36799545.24,36710130.94,36783530.96
506,i.oryema,Unaccountable Foxes,21620000,22320581.27,22430396.62,22375896,22420635.45,22622288.89,22413483.73,22489693.41,22947079.34,21620000,21620000
507,x.mendez,Unaccountable Foxes,26530000,27694547.69,27554980.69,27687615.25,27429460.52,27796155.45,27709436.2,27389686.45,27524441.37,27457563.4,27512463.39
508,e.konig,Unaccountable Foxes,22350000,23521434.06,23167326.16,23381098.52,23235340.25,22984081.08,23393590.61,23331064.49,23213487.31,23325224.3,23107743.78
509,m.azulay,Unaccountable Foxes,27760000,28978539.16,28832501.47,28971285.31,28701161.85,29084857.71,28994117.94,28659543.76,28800546.26,28730567.66,28788012.96
510,t.kuok,Unaccountable Foxes,28260000,29500486.91,29351818.85,29493102.41,29218113.62,29608720.43,29516346.29,29175745.91,29319288.09,29248049.07,29306529.04
511,y.peter,Unethical Comets,8630000,8953483.94,8931729.07,8949587.6,9030081.09,8946732.87,8977153.29,9159726.86,8630000,8630000,8630000
512,b.nassozi,Unethical Comets,12940000,13734283.38,12940000,12940000,12940000,12940000,12940000,12940000,12940000,12940000,12940000
513,b.pandit,Unethical Comets,2580000,2653195.94,2700468.18,2693250.4,2679677.73,2692576.23,2667471.09,2703131.59,2694698.28,2663603.13,2676707.83
514,k.cohen,Unethical Comets,13280000,13710329.29,13777782.94,13744306.14,13771787.18,13895652.01,13767394.26,13814205.76,14095153.27,13280000,13280000
515,r.dube,Unethical Comets,15590000,16317945.3,16274330.89,16192316.2,16270257.13,16118555.95,16334039.33,16283079.92,16095183.26,16174370.18,16135070.24
516,d.nangiro,Unethical Comets,26150000,27130197.58,27064277.53,27118391.17,27362296.69,27109740.96,27201918.71,27755139.9,26150000,26150000,26150000
517,l.kalnis,Unethical Comets,20970000,20970000,20970000,20970000,20970000,20970000,20970000,20970000,20970000,20970000,20970000
518,h.afriyie,Unethical Comets,28760000,29871136.24,30014919.51,29735065.38,30132583.14,30038574.63,29691948.07,29838029.92,29765530.47,29825045.12,30093294.56
519,m.mizrahi,Unethical Comets,16950000,17689599.64,17524664.75,17758945.9,17703541.03,17499253.12,17585347.95,17542619.66,17577695.23,17735790.78,17572088.31
520,d.masuku,Unethical Comets,28620000,29985901.58,29892350.7,29547411.47,29692782.21,29620635.68,29679860.62,29946804.25,29670393.35,29771277.76,30376753.5
521,c.abaho,Unethical Comets,38250000,39489465.01,39683749.8,39587327.56,39666480.39,40023244.68,39653827.59,39788657.39,40597862.38,38250000,38250000
522,g.parisi,Unethical Comets,22570000,23359110.67,23405816.01,23616330.26,23398350.03,23477908.43,23955392.26,22570000,22570000,22570000,22570000
523,l.dahl,Unethical Comets,12440000,12986060.06,12920616.65,12982809.41,12861759.85,13033704.25,12993041.32,12843109.67,12906296.67,12874937.38,12900680.16
524,g.ampofo,Unethical Comets,14480000,15123732.99,14949214.47,15022763.32,14986261.52,15016225.78,15151283.21,15011435.91,15062477.36,15368811.69,14480000
525,g.heydari,Unethical Comets,20250000,20906187.36,21009044.01,20957996.94,20999901.38,21188776.59,20993202.84,21064583.32,21492985.97,20250000,20250000
